category,crop,variant,kc_ini,kc_mid,kc_end,max_height_m
Small Vegetables,Small Vegetables,,0.7,1.05,0.95,
Small Vegetables,Broccoli,,,1.05,0.95,0.3
Small Vegetables,Brussel Sprouts,,,1.05,0.95,0.4
Small Vegetables,Cabbage,,,1.05,0.95,0.4
Small Vegetables,Carrots,,,1.05,0.95,0.3
Small Vegetables,Cauliflower,,,1.05,0.95,0.4
Small Vegetables,Celery,,,1.05,1.00,0.6
Small Vegetables,Garlic,,,1.00,0.70,0.3
Small Vegetables,Lettuce,,,1.00,0.95,0.3
Small Vegetables,Onions,dry,,1.05,0.75,0.4
Small Vegetables,Onions,green,,1.00,1.00,0.3
Small Vegetables,Onions,seed,,1.05,0.80,0.5
Small Vegetables,Spinach,,,1.00,0.95,0.3
Small Vegetables,Radish,,,0.90,0.85,0.3
Vegetables - Solanum Family (Solanaceae),Vegetables - Solanum Family (Solanaceae),,0.6,1.15,0.80,
Vegetables - Solanum Family (Solanaceae),Egg Plant,,,1.05,0.90,0.8
Vegetables - Solanum Family (Solanaceae),Sweet Peppers (bell),,,1.052,0.90,0.7
Vegetables - Solanum Family (Solanaceae),Tomato,,,1.152,0.70-0.90,0.6
Vegetables - Cucumber Family (Cucurbitaceae),Vegetables - Cucumber Family (Cucurbitaceae),,0.5,1.00,0.80,
Vegetables - Cucumber Family (Cucurbitaceae),Cantaloupe,,0.5,0.85,0.60,0.3
Vegetables - Cucumber Family (Cucurbitaceae),Cucumber,Fresh Market,0.6,1.002,0.75,0.3
Vegetables - Cucumber Family (Cucurbitaceae),Cucumber,Machine harvest,0.5,1.00,0.90,0.3
Vegetables - Cucumber Family (Cucurbitaceae),"Pumpkin, Winter Squash",,,1.00,0.80,0.4
Vegetables - Cucumber Family (Cucurbitaceae),"Squash, Zucchini",,,0.95,0.75,0.3
Vegetables - Cucumber Family (Cucurbitaceae),Sweet Melons,,,1.05,0.75,0.4
Vegetables - Cucumber Family (Cucurbitaceae),Watermelon,,0.4,1.00,0.75,0.4
Roots and Tubers,Roots and Tubers,,0.5,1.10,0.95,
Roots and Tubers,"Beets, table",,,1.05,0.95,0.4
Roots and Tubers,Cassava,year 1,0.3,0.803,0.30,1.0
Roots and Tubers,Cassava,year 2,0.3,1.10,0.50,1.5
Roots and Tubers,Parsnip,,0.5,1.05,0.95,0.4
Roots and Tubers,Potato,,,1.15,0.754,0.6
Roots and Tubers,Sweet Potato,,,1.15,0.65,0.4
Roots and Tubers,Turnip (and Rutabaga),,,1.10,0.95,0.6
Roots and Tubers,Sugar Beet,,0.35,1.20,0.705,0.5
Legumes (Leguminosae),Legumes (Leguminosae),,0.4,1.15,0.55,
Legumes (Leguminosae),"Beans, green",,0.5,1.052,0.90,0.4
Legumes (Leguminosae),"Beans, dry and Pulses",,0.4,1.152,0.35,0.4
Legumes (Leguminosae),Chick pea,,,1.00,0.35,0.4
Legumes (Leguminosae),Fababean (broad bean),Fresh,0.5,1.152,1.10,0.8
Legumes (Leguminosae),Fababean (broad bean),Dry/Seed,0.5,1.152,0.30,0.8
Legumes (Leguminosae),Grabanzo,,0.4,1.15,0.35,0.8
Legumes (Leguminosae),Green Gram and Cowpeas,,,1.05,0.60-0.356,0.4
Legumes (Leguminosae),Groundnut (Peanut),,,1.15,0.60,0.4
Legumes (Leguminosae),Lentil,,,1.10,0.30,0.5
Legumes (Leguminosae),Peas,Fresh,0.5,1.152,1.10,0.5
Legumes (Leguminosae),Peas,Dry/Seed,,1.15,0.30,0.5
Legumes (Leguminosae),Soybeans,,,1.15,0.50,0.5-1.0
Perennial Vegetables (with winter dormancy and initially bare or mulched soil),Perennial Vegetables (with winter dormancy and initially bare or mulched soil),,0.5,1.00,0.80,
Perennial Vegetables (with winter dormancy and initially bare or mulched soil),Artichokes,,0.5,1.00,0.95,0.7
Perennial Vegetables (with winter dormancy and initially bare or mulched soil),Asparagus,,0.5,0.957,0.30,0.2-0.8
Perennial Vegetables (with winter dormancy and initially bare or mulched soil),Mint,,0.60,1.15,1.10,0.6-0.8
Perennial Vegetables (with winter dormancy and initially bare or mulched soil),Strawberries,,0.40,0.85,0.75,0.2
Fibre Crops,Fibre Crops,,0.35,,,
Fibre Crops,Cotton,,,1.15-1.20,0.70-0.50,1.2-1.5
Fibre Crops,Flax,,,1.10,0.25,1.2
Fibre Crops,Sisal 8,,,0.4-0.7,0.4-0.7,1.5
Oil Crops,Oil Crops,,0.35,1.15,0.35,
Oil Crops,Castorbean (Ricinus),,,1.15,0.55,0.3
Oil Crops,"Rapeseed, Canola",,,1.0-1.159,0.35,0.6
Oil Crops,Safflower,,,1.0-1.159,0.25,0.8
Oil Crops,Sesame,,,1.10,0.25,1.0
Oil Crops,Sunflower,,,1.0-1.159,0.35,2.0
Cereals,Cereals,,0.3,1.15,0.4,
Cereals,Barley,,,1.15,0.25,1
Cereals,Oats,,,1.15,0.25,1
Cereals,Spring Wheat,,,1.15,0.25-0.410,1
Cereals,Winter Wheat,with frozen soils,0.4,1.15,0.25-0.410,1
Cereals,Winter Wheat,with non-frozen soils,0.7,1.15,0.25-0.410,
Cereals,"Maize, Field (grain) (field corn)",,,1.20,0.60-0.3511,2
Cereals,"Maize, Sweet (sweet corn)",,,1.15,1.0512,1.5
Cereals,Millet,,,1.00,0.30,1.5
Cereals,Sorghum,grain,,1.00-1.10,0.55,1-2
Cereals,Sorghum,sweet,,1.20,1.05,2-4
Cereals,Rice,,1.05,1.20,0.90-0.60,1
Forages,Alfalfa Hay,averaged cutting effects,0.40,0.9513,0.90,0.7
Forages,Alfalfa Hay,individual cutting periods,0.4014,1.2014,1.1514,0.7
Forages,Alfalfa Hay,for seed,0.40,0.50,0.50,0.7
Forages,Bermuda hay,averaged cutting effects,0.55,1.0013,0.85,0.35
Forages,Bermuda hay,Spring crop for seed,0.35,0.90,0.65,0.4
Forages,"Clover hay, Berseem",averaged cutting effects,0.40,0.9013,0.85,0.6
Forages,"Clover hay, Berseem",individual cutting periods,0.4014,1.1514,1.1014,0.6
Forages,Rye Grass hay,averaged cutting effects,0.95,1.05,1.00,0.3
Forages,Sudan Grass hay (annual),averaged cutting effects,0.50,0.9014,0.85,1.2
Forages,Sudan Grass hay (annual),individual cutting periods,0.5014,1.1514,1.1014,1.2
Forages,Grazing Pasture,Rotated Grazing,0.40,0.85-1.05,0.85,0.15-0.30
Forages,Grazing Pasture,Extensive Grazing,0.30,0.75,0.75,0.10
Forages,Turf grass,cool season 15,0.90,0.95,0.95,0.10
Forages,Turf grass,warm season 15,0.80,0.85,0.85,0.10
Sugar Cane,Sugar Cane,,0.40,1.25,0.75,3
Tropical Fruits and Trees,Banana,1st year,0.50,1.10,1.00,3
Tropical Fruits and Trees,Banana,2nd year,1.00,1.20,1.10,4
Tropical Fruits and Trees,Cacao,,1.00,1.05,1.05,3
Tropical Fruits and Trees,Coffee,bare ground cover,0.90,0.95,0.95,2-3
Tropical Fruits and Trees,Coffee,with weeds,1.05,1.10,1.10,2-3
Tropical Fruits and Trees,Date Palms,,0.90,0.95,0.95,8
Tropical Fruits and Trees,Palm Trees,,0.95,1.00,1.00,8
Tropical Fruits and Trees,Pineapple 16,bare soil,0.50,0.30,0.30,0.6-1.2
Tropical Fruits and Trees,Pineapple 16,with grass cover,0.50,0.50,0.50,0.6-1.2
Tropical Fruits and Trees,Rubber Trees,,0.95,1.00,1.00,10
Tropical Fruits and Trees,Tea,non-shaded,0.95,1.00,1.00,1.5
Tropical Fruits and Trees,Tea,shaded 17,1.10,1.15,1.15,2
Grapes and Berries,Berries (bushes),,0.30,1.05,0.50,1.5
Grapes and Berries,Grapes,Table or Raisin,0.30,0.85,0.45,2
Grapes and Berries,Grapes,Wine,0.30,0.70,0.45,1.5-2
Grapes and Berries,Hops,,0.3,1.05,0.85,5
Fruit Trees,"Almonds, no ground cover",,0.40,0.90,0.6518,5
Fruit Trees,"Apples, Cherries, Pears 19","no ground cover, killing frost",0.45,0.95,0.7018,4
Fruit Trees,"Apples, Cherries, Pears 19","no ground cover, no frosts",0.60,0.95,0.7518,4
Fruit Trees,"Apples, Cherries, Pears 19","active ground cover, killing frost",0.50,1.20,0.9518,4
Fruit Trees,"Apples, Cherries, Pears 19","active ground cover, no frosts",0.80,1.20,0.8518,4
Fruit Trees,"Apricots, Peaches, Stone Fruit 19, 20","no ground cover, killing frost",0.45,0.90,0.6518,3
Fruit Trees,"Apricots, Peaches, Stone Fruit 19, 20","no ground cover, no frosts",0.55,0.90,0.6518,3
Fruit Trees,"Apricots, Peaches, Stone Fruit 19, 20","active ground cover, killing frost",0.50,1.15,0.9018,3
Fruit Trees,"Apricots, Peaches, Stone Fruit 19, 20","active ground cover, no frosts",0.80,1.15,0.8518,3
Fruit Trees,"Avocado, no ground cover",,0.60,0.85,0.75,3
Fruit Trees,"Citrus, no ground cover 21",70% canopy,0.70,0.65,0.70,4
Fruit Trees,"Citrus, no ground cover 21",50% canopy,0.65,0.60,0.65,3
Fruit Trees,"Citrus, no ground cover 21",20% canopy,0.50,0.45,0.55,2
Fruit Trees,"Citrus, with active ground cover or weeds 22",70% canopy,0.75,0.70,0.75,4
Fruit Trees,"Citrus, with active ground cover or weeds 22",50% canopy,0.80,0.80,0.80,3
Fruit Trees,"Citrus, with active ground cover or weeds 22",20% canopy,0.85,0.85,0.85,2
Fruit Trees,Conifer Trees 23,,1.00,1.00,1.00,10
Fruit Trees,Kiwi,,0.40,1.05,1.05,3
Fruit Trees,Olives (40 to 60% ground coverage by canopy) 24,,0.65,0.70,0.70,3-5
Fruit Trees,"Pistachios, no ground cover",,0.40,1.10,0.45,3-5
Fruit Trees,Walnut Orchard 19,,0.50,1.10,0.6518,4-5
Wetlands - temperate climate,"Cattails, Bulrushes, killing frost",,0.30,1.20,0.30,2
Wetlands - temperate climate,"Cattails, Bulrushes, no frost",,0.60,1.20,0.60,2
Wetlands - temperate climate,"Short Veg., no frost",,1.05,1.10,1.10,0.3
Wetlands - temperate climate,"Reed Swamp, standing water",,1.00,1.20,1.00,1-3
Wetlands - temperate climate,"Reed Swamp, moist soil",,0.90,1.20,0.70,1-3
Special,"Open Water, < 2 m depth or in subhumid climates or tropics",,,1.05,1.05,
Special,"Open Water, > 5 m depth, clear of turbidity, temperate climate",,,0.6525,1.2525,
