Source,Data
inm,precip(h/j)
inm,temp min max(h)
inm,humid rel(h)
inm,windspeed(h)
inm,press atm(h)
openmeteo,precip(h/j)
openmeteo,prev meteo 7j(j)
noaa,precip(h/j)
noaa,windspeed(h)
openweather,temp min max(h)
openweather,humid rel(h)
nasa power,ray solair(h)
ecmwf,ray solair(h)
ecmwf,prev meteo 7j(j)
copernicus,prev saison(m)
fao,Prix mondiaux cultures(j)
fao,hist prix(a)
fao,list cultures(a)
fao,risques ravageurs(7j)
fao,Kc(s)
worldbank,Prix mondiaux cultures(j)
worldbank,hist prix(a)
tridge,Prix mondiaux cultures(j)
onagri,prix tun cultur(j)
onagri,rendemant moy per crop(a)
apia,prix tun cultur(j)
gda,cout eau(m)
gda,water availability(m)
sonede,cout eau(m)
crda,list cultures(a)
crda,rendemant moy per crop(a)
crda,crop calendar(a)
crda,dirt type(a)
crda,water availability(m)
fao56,water needs per crop(s)
fao56,et0(j)(calcul)
iresa,risques ravageurs(7j)
sentinel-2,ndvi(5j)
esa,ndwi(5j)
modis,surface temp(j)
farmer,location
farmer,area ha(a)
farmer,real dirt type(a)
farmer,date semis(j)
farmer,date irrig(j)
farmer,liste of crop(a)
farmer,crop calendar(a)